,PC1,PC2,PC3,PC4,PC5
2011-11-21,-0.061333374008600755,0.001283562095750074,-0.0008288884293888141,0.0006120905767875561,0.00013780366100526152
2011-11-22,-0.06355476828028206,0.0016154583452382726,-0.0008218591829889247,0.0006000500084566845,-7.766635661500022e-05
2011-11-23,-0.06721341178980683,0.0023160330244764754,-0.000668283157259772,-0.0003867631279454568,0.00010749508860281062
2011-11-25,-0.06197616382411066,0.0018692095330502233,-0.0005537355446015957,-0.0005334443360386631,-5.8553522640907474e-05
2011-11-28,-0.061323283285742144,0.0012886897551159869,-0.00022771771873451516,-0.0004471046039583419,0.00010839118740499419
2011-11-29,-0.059403721663073436,0.001349557387987571,-0.00028130527102880566,-0.0005218766195551438,0.0002448685025008047
2011-11-30,-0.05370155946178251,0.0006711173879516636,0.0003916164412207004,-0.00028131492084484825,0.0002771151081456703
2011-12-01,-0.050788630141496,-4.0824485309260295e-05,0.00036619535121840303,-0.0003485648900545127,0.00019963624041690375
2011-12-02,-0.054942416181921375,0.00035487656163343383,0.0005719466737529842,-0.0002429356709485464,7.326674791405477e-05
2011-12-05,-0.055174258719856026,0.0005213278750125457,0.0002680487387743465,-0.00017975480198720263,6.934599488141066e-06
2011-12-06,-0.052948531068702724,-0.0001445693449857073,-0.0003698121075961986,-0.0012921333704362936,-0.00013337145430982914
2011-12-07,-0.054338586716087725,-0.0007488141679968777,0.0004593820526713314,-5.1044256688990465e-05,-0.00012470855459203995
2011-12-08,-0.0561658466776255,-0.0007473972007395057,0.000653275233728038,-4.924410795057593e-07,0.00010771722433140237
2011-12-09,-0.05086427227077818,-0.0011646856590359672,0.0007761065635860799,-0.0002840706855119007,4.660059307509158e-05
2011-12-12,-0.052757177652987666,-0.0010815450295388993,0.0005318850472890995,-0.00017241269539529066,-5.1370015845365565e-05
2011-12-13,-0.05692050494714162,-0.0006223243704871076,-5.658402511331305e-05,-0.00024952785659227176,-9.953258331506579e-05
2011-12-14,-0.05998890461743314,0.00038693123553788485,-0.0005127136704256257,-0.00028920782970089315,-0.00015326099115903978
2011-12-15,-0.05917361781162485,0.00019506927510713973,-0.0005781043869804146,-0.00017236118549768427,-0.00022861611237792208
2011-12-16,-0.06211053096802166,-4.487450175240165e-05,-0.0005241875763708713,-2.627756063362536e-05,-0.0002759391859761783
2011-12-19,-0.06483790320722901,0.0008763248658736466,-0.0007787664944011526,0.00012763300968246256,-0.000234517066577949
2011-12-20,-0.057349588621503966,0.0004268499522382765,-0.0004558988823782045,-0.00022092489146598388,-0.0002731858140052249
2011-12-21,-0.0537424553338606,-3.527533063938477e-05,-0.0007132241485145472,-0.00029182862366519463,-5.530271215068889e-05
2011-12-22,-0.05368344944842963,9.337244280504566e-06,-0.0006511397102999732,5.493083419292385e-06,-0.00014962992408021965
2011-12-23,-0.04998419922825543,0.00035971531881940516,-0.000760757709656874,-2.3756726425912256e-05,-4.470873264811331e-05
2011-12-27,-0.05020546709947683,0.00038388019260334936,-0.0008246581080120852,-4.694188899050794e-05,-3.6885937116503615e-05
2011-12-28,-0.056555834253011326,0.0010883300090711889,-0.0008109628172403203,-0.00010384025319267213,-7.604719428525134e-05
2011-12-29,-0.05688941355973616,0.000595933227761859,-0.000662356610579833,-1.2832442411128079e-05,-0.0002386395692434161
2011-12-30,-0.05732456784584644,-0.00019879399787643042,-0.00016293498574776293,-6.951522969553389e-05,-0.00011786349306471088
2012-01-03,-0.05186229255074655,-0.00019943232500399836,3.475179446836476e-06,0.00010835899615386883,-0.00032053320985536514
2012-01-04,-0.049330142355198364,-0.0007605153896530466,7.608906677797648e-05,-6.452441205312019e-05,-0.00019887967354845248
2012-01-05,-0.04752741291991549,-0.0011645946600621574,0.0002896881066928056,-0.00010876135071987347,0.00043331435270057065
2012-01-06,-0.049394213905344236,-0.001080178378879457,9.468235169722951e-05,4.4748657563115773e-05,0.00038935654847307
2012-01-09,-0.049075170470815846,-0.0012264087018754779,0.00028250077404608676,-2.014398508393524e-05,0.00039938009947831617
2012-01-10,-0.0478985836058064,-0.0012027908567786645,0.0002821234527683198,-0.0002815118325457419,8.949044905880187e-05
2012-01-11,-0.05185626577235698,-0.0010734077565311816,0.00021171176573168884,-0.0001873357975593448,0.00022580770583958813
2012-01-12,-0.05066645579588079,-0.0008128443446957967,0.00016841040174983123,6.600328081429133e-05,-4.382293893106875e-05
2012-01-13,-0.05351347050580951,-0.0006787196102263928,0.00011337436400978788,3.776135398588778e-05,0.00020493732672595492
2012-01-17,-0.05424114249875758,-0.0006427534966895222,6.258580462545826e-05,0.00011571843890932415,-3.4290706574343277e-06
2012-01-18,-0.05052199359468694,-0.0009729167023439169,-4.078356899849802e-05,-5.888110396503254e-05,0.0001856317550233475
2012-01-19,-0.045231971261077905,-0.0008651406646773179,0.00020622239318445488,-0.0003410443353063703,-0.00010839079903868958
2012-01-20,-0.04194614866486364,-0.0008701674271936665,0.00023533356433295006,-7.127708152376779e-05,-0.00013025041078220875
2012-01-23,-0.039235990989696434,-0.001002890203468757,0.00014521101835688797,-0.00036084041872362724,-0.0002110483053558863
2012-01-24,-0.03902517372364227,-0.001292380410383818,0.00014141756146028583,-0.00015714786020278623,-0.00012630859977720164
2012-01-25,-0.04105581196607548,-0.0030959058290701636,3.52055768806593e-05,-8.045712035023318e-05,1.4412808613593778e-05
2012-01-26,-0.042912460955106965,-0.0035884119599946564,-0.0001112894009928343,3.2965144696551216e-05,0.00011019727061297704
2012-01-27,-0.04425230010084972,-0.0033828435364270572,-0.00020876251278883345,0.00017019539742594626,-0.00019052159929251977
2012-01-30,-0.04778781087805355,-0.002580597665134104,-0.0002896650924986623,-0.0003164749258078737,7.824067464687291e-05
2012-01-31,-0.05005116645014014,-0.002144141698203217,-0.00038182005735862994,0.00028215854894751463,-6.805628307692761e-05
2012-02-01,-0.046478046482856285,0.0027948673990898015,-0.0003791744737651351,-0.00013820338904332267,-7.695180625259877e-05
2012-02-02,-0.04650646219392732,0.00291450077652311,-0.00045236297670508377,-9.449339053990897e-05,-0.00017322126169030732
2012-02-03,-0.03961079899151372,-0.0030665402132040356,8.840745415941318e-05,-0.00016682529115768824,-5.4181283160548654e-05
2012-02-06,-0.0418971036656145,-0.002599538649953464,0.0002207110395553557,-0.00013133421449880076,-8.766318976173826e-05
2012-02-07,-0.03777122243230841,-0.002133593712537469,-5.968494582157986e-05,0.00013305272077408672,-4.963271735459649e-05
2012-02-08,-0.03729543072764986,-0.0019183010829213524,3.9517295444504346e-05,0.00018552090888569696,0.0002962232137798935
2012-02-09,-0.034120937165931606,-0.0022489759432946623,0.0004003593737088719,-0.00020965327962445962,1.8121919731421067e-05
2012-02-10,-0.038363806091063296,-0.0018706915282851427,-0.0004621276340268689,-0.00013257637652042803,8.626234213020444e-05
2012-02-13,-0.03623161887127008,-0.001499557801909228,-0.0007611500091867247,-8.625019569085237e-05,7.260022492716265e-05
2012-02-14,-0.040130160808522476,-0.0010677464219751669,0.0011188764623836062,0.00018305427570501913,-0.00016718550721427428
2012-02-15,-0.03861336855921345,0.0016400472677352805,-0.0009368246411268842,3.716541824266384e-05,-9.55460963474716e-05
2012-02-16,-0.03500358065566833,0.0011129407713278278,-0.0009049380989732031,-1.4793923693729935e-05,6.012605676254632e-05
2012-02-17,-0.033538283268116316,0.0011216790395594766,-0.0007868219922812968,5.5804255405020277e-05,2.4046585565244168e-05
2012-02-21,-0.030905815441592904,0.0009669442783930928,-0.0008294569417871896,0.00011418703415731909,1.946399398395737e-05
2012-02-22,-0.03327154865383508,0.00090182590424766,-0.0005693165894203894,-8.621841127638371e-05,-0.00014119465847797723
2012-02-23,-0.03396512260434205,0.0006983219434050639,-0.0008675897175075497,-0.00012822408933024364,-0.00012477938774113108
2012-02-24,-0.03473089783003336,7.321351506375676e-06,-0.0009630304914609472,-8.731948868245343e-05,-3.0293534348129955e-05
2012-02-27,-0.03774372745648051,0.00010500574892071085,-0.0008233152528864114,-0.00018523313041809942,1.033252997615291e-05
2012-02-28,-0.03614402919036121,0.00045022333248277333,-0.0007753607859754144,-5.255370148934762e-05,-0.00011944699029861139
2012-02-29,-0.03461574455750399,-0.0002605950104878896,-0.0006043032809842795,-0.00022907107739268467,-0.00026670602190648424
2012-03-01,-0.03068335307723568,0.000339287150533769,-0.0003396288604991211,-9.915944537097093e-05,-0.00016931180798173307
2012-03-02,-0.03241013206725991,0.0006170327576012443,3.480695999616033e-05,-0.0005599340722546712,6.062448361376926e-07
2012-03-05,-0.031263739327862736,0.000569255146280333,-0.0004240285345402813,-0.00030169906685408217,-3.991281084673721e-05
2012-03-06,-0.03361176253005932,0.0004890007535557441,-0.00019945523282788172,-0.0004518379999429238,-8.043404509746016e-05
2012-03-07,-0.03151159084914504,0.0008562244388341344,-0.00041586085707209016,-0.00027459800838140985,-8.728310210153866e-05
2012-03-08,-0.02792787556339316,0.001067163398552992,-0.00044200990574985006,-0.00032321325172744036,-9.788967874853945e-05
2012-03-09,-0.026995666937010623,0.0009354634627057599,-0.0006020250497087022,-0.000196132582829606,-9.809626979257607e-05
2012-03-12,-0.027222379856042044,0.0002979086783352527,-0.0007310403871076407,-0.0003347874330153108,-1.3085505254091957e-05
2012-03-13,0.02150849765955883,8.931720294890627e-05,-0.0007506584435510773,-0.00047739518778633675,-0.00011086632132991411
2012-03-14,0.012066656075863148,0.00013499959680444556,-0.0014055398004558955,0.00014803179212162873,-0.0003272929185605462
2012-03-15,0.012262497523772422,-5.194669128072009e-05,-0.0007141810527003955,-0.0003802091203868062,-0.00015675833783859803
2012-03-16,0.01175784241656196,-0.0006911589281389772,-0.0007963753545068773,-0.0002492710480194847,-0.0003420885824366067
2012-03-19,0.0077193030648273,-0.0011167016879811932,-0.0010017077706670826,-0.00033409760514382014,-0.0005658885409066041
2012-03-20,0.00817062350968394,-0.0017962893808079864,-0.0011880480967295971,-0.00011928070521365526,-0.0002581231185208905
2012-03-21,0.01210888781026865,0.0017883081257042536,-0.0006913682652347337,-0.00024285376315740377,9.229232695647394e-06
2012-03-22,0.012814258256041038,0.0014640278101803305,-0.0004841544761824836,-0.00010232898278514093,0.00015497483437182282
2012-03-23,0.015425260213376105,0.0019097906541589364,-0.00029373884075057787,-0.00011694147538167504,2.4787773247413438e-06
2012-03-26,0.01447866035428384,0.0014279580075649994,-0.00025297605867761303,-0.000339612859532084,9.963414596017193e-05
2012-03-27,0.01670325070245235,0.0006825941674971431,-6.143597595896575e-05,-0.00023535179686877552,-5.9252702891254404e-05
2012-03-28,0.015662314500785167,0.0005552765775738656,-0.00027796611640146316,-0.00014089142945296874,0.00010365760044943231
2012-03-29,0.01753639593058142,0.0006094632325653947,-0.00015028386060984107,-0.00027404575714168414,0.00011058625265504248
2012-03-30,0.013387260738045099,-9.406865149743705e-05,-0.00040228149410084427,-0.00032889174303780825,-0.00022814986596993788
2012-04-02,0.013227978909290923,-0.0003915203380817522,-0.00036981215508842503,-0.0002651055187498407,-0.0001534456605465866
2012-04-03,0.009057783036930805,0.0004790065207361003,-0.0006069510904481576,-0.0003119782121053762,-5.6577703058746404e-05
2012-04-04,0.011452356698724141,1.8335809680947797e-06,-0.0006045565287601657,-0.00039589780510576323,-4.0976998442913005e-05
2012-04-05,0.014096232602252654,-0.00034405615839466156,-0.0006044763408351438,-0.0002505563193782491,0.0001186362071072931
2012-04-06,0.02042866168621144,-0.0011149760959288748,-0.0005602979206299998,-0.0005118505844789402,-0.00023379675096381813
2012-04-09,0.02148638888936689,-0.00038672427152624026,-0.0005061572511710849,-0.00039009575385939166,-0.00011944129180028573
2012-04-10,0.02396730003743204,-0.0006629052197868154,-0.0001628388636146684,-0.0004563260197270806,-7.000039458143423e-05
2012-04-11,0.020914132916503812,-0.0007046284362815677,-0.00024302155361177627,-0.00030910926558910085,-6.273884694204981e-05
2012-04-12,0.01873501824888866,-0.0009267958171589631,-0.00026058987769449714,-0.00026533362265219307,0.00024985782933251675
2012-04-13,0.022618620274761865,-0.00045390234792110626,3.549288425024554e-05,-0.0002678702805436358,0.0002640900840944352
2012-04-16,0.023381856595356715,-0.00034252324370406784,-0.00011099926749306933,-0.00021461486869446395,0.00015823046608326972
2012-04-17,0.021094700824268228,-0.00031049856401731265,-2.632382990240892e-07,-0.0002147032004975693,1.290399397565773e-05
2012-04-18,0.022263847111235566,-0.0004715435032288847,-1.4434883652338169e-05,-3.925059069622329e-06,0.0002292382301827007
2012-04-19,0.0228847533374593,-0.0005997341172126752,-8.062955563593302e-05,0.00023414086230016812,0.0003828849629357535
2012-04-20,0.022164005755440103,-0.0002602606730092857,-6.242402423595509e-05,0.00018157417172869498,0.00015077585700340543
2012-04-23,0.023969027014136245,-0.00020713718676962302,9.197974519364535e-05,-5.115571138042274e-05,0.00010423010371402681
2012-04-24,0.021416616651945924,-0.00018332058833667305,-1.062846402946193e-05,-0.00020324204262407565,0.00015348300762976124
2012-04-25,0.02020385439705898,-0.0006274632547032393,-0.00017984743449416636,-0.00014138446128939453,0.0005418260003849297
2012-04-26,0.021149069276702834,-0.0008080578182169585,-0.0002251194191381416,0.00017704650574582403,0.0003704902414642863
2012-04-27,0.021503045033981795,-0.0009251871691269522,-0.0003368772575212045,0.00026572934202083584,0.00011957842504270466
2012-04-30,0.021304534399463358,-0.0010514038359149052,-0.00039616429070312743,0.0002564030702058321,1.0822129385008633e-05
2012-05-01,0.01915789262664961,-0.0012429276796494244,-0.0005031146854149478,0.00023907147400785628,0.00011201910571058307
2012-05-02,0.0210293287417025,-0.000526892626325401,-0.00018881723679174602,2.7287470133623897e-05,-0.00012094755751940677
2012-05-03,0.020547543580333814,-0.0005890777016746744,-0.0004293448352369726,0.00027574751202875036,-8.873380736721661e-05
2012-05-04,0.023062605383134014,-0.0006835076283238002,-0.00017657276089948074,5.2332574446355595e-05,3.78376163282741e-05
2012-05-07,0.022643873255266553,-0.0003971677099108991,-0.00012101169199714196,9.12147809552376e-05,0.00015216235591577088
2012-05-08,0.024547060980649106,-0.0002541420661083377,-5.330557857555825e-05,0.0001729658763473911,-6.244069914260121e-06
2012-05-09,0.024346931019382578,-0.00035425429418721173,-8.642492536216351e-05,0.00030185349013464385,0.00011962439600105067
2012-05-10,0.022831982650387043,-0.0006898924196824924,-0.0006151860560639415,0.0006421629717253959,8.441059389337929e-05
2012-05-11,0.02531795341431952,-0.0005894553942145462,-0.0005114916690166565,0.0005332397466682796,-5.595247512688603e-05
2012-05-14,0.02842045146971249,5.520664732282872e-05,-0.0005572335764736762,0.0005299838186149522,0.000311386124215879
2012-05-15,0.029724866917093674,0.0007392126685619375,-0.0004717108489032491,0.0005652403218189396,0.00024654839800031486
2012-05-16,0.030068719620251892,0.0011002519641926732,-0.0006446784446783602,0.000355189374441732,2.5743680706888806e-05
2012-05-17,0.03441287214119678,0.002164275857649165,-0.0002736832873308148,0.0004103100830447708,1.3639523826173595e-05
2012-05-18,0.03369483927229964,0.002085972704194098,-7.16660510328654e-05,0.00015765473952955008,0.00010963929083764967
2012-05-21,0.03241491248029535,0.002190636521450775,0.0005479410285917558,-9.086867525510788e-05,-7.777639303131832e-05
2012-05-22,0.02871090865963432,0.0011954429775490306,8.359227023078822e-06,-0.0001875803864951809,-0.00013895542174716157
2012-05-23,0.0321105109680178,0.0012089077504628602,0.00020641339283393738,-4.719782603936984e-06,-0.00012196350028420349
