Date,0,1,2
1/14/11,3.1442719301719957,-2.933431942,-3.824771803
1/21/11,3.1095941273652437,-2.901888465,-3.691311637
1/28/11,3.087332979781777,-2.873945205,-3.690323439
2/4/11,3.0606438612452145,-2.903105043,-3.277062259
2/11/11,3.002980798,-2.849895579,-3.019508253
2/18/11,3.0529138815626777,-2.889349208,-3.140114317
2/25/11,3.0227917807710267,-2.828696855,-3.296638723
3/4/11,3.1151628544856123,-2.915579964,-3.404721341
3/11/11,3.1208782329099636,-2.894263404,-3.64950071
3/18/11,3.210198619145907,-2.945257947,-4.033402574
3/25/11,3.1878633402300123,-2.946404893,-4.006502457
4/1/11,3.177547338215615,-2.971863304,-3.74406785
4/8/11,3.2601673830267885,-3.079431235,-3.652199607
4/15/11,3.223036939451684,-3.029698414,-3.699587877
4/22/11,3.1043161147787797,-2.892983117,-3.702781387
4/29/11,3.157327353,-2.911178384,-3.916293484
5/6/11,3.1165175794669575,-2.850844088,-4.089478291
5/13/11,3.010680226266082,-2.748930918,-3.936853172
5/20/11,3.052619032680584,-2.780953223,-3.987758191
5/27/11,3.0019408343747798,-2.73217834,-3.910274593
6/3/11,3.0462077976158843,-2.792138003,-4.011647643
6/10/11,3.1164282172064413,-2.854581704,-4.143800154
6/17/11,3.106161051836599,-2.835672301,-4.201239643
6/24/11,3.049507577456944,-2.794300899,-4.112673989
7/1/11,3.0344827603378914,-2.816395176,-3.908733787
7/8/11,3.120417493998962,-2.912622249,-3.907102771
7/15/11,3.059240275219782,-2.799717657,-4.145589956
7/22/11,3.0380710264200794,-2.788334931,-4.069764046
7/29/11,3.059875185238942,-2.793152432,-4.229312975
8/5/11,2.928199759546681,-2.659517353,-4.146329326
8/12/11,3.060927286,-2.785543152,-4.323774136
8/19/11,3.0119759685358884,-2.713370792,-4.456988717
8/26/11,3.069345962547192,-2.789274371,-4.406600186
9/2/11,3.083145133022676,-2.807199593,-4.392891459
9/9/11,2.9708275876806116,-2.686429442,-4.319958601
9/16/11,2.8863028754979942,-2.626562107,-4.118534294
9/23/11,2.769748465026798,-2.520656918,-3.898767157
9/30/11,2.841167010999397,-2.605267834,-3.868865307
10/7/11,2.8426511505874608,-2.581659284,-4.02220297
10/14/11,2.8452708945422356,-2.600641166,-3.885910677
10/21/11,2.910182949164071,-2.666483458,-4.024237265
10/28/11,2.907136302172702,-2.671111175,-3.950769617
11/4/11,2.8727497563434228,-2.613944701,-4.056369075
11/11/11,2.8299332041234724,-2.560012261,-4.062687247
11/18/11,2.877233477,-2.587761591,-4.235904895
11/25/11,2.863272119682929,-2.614219025,-3.928711482
12/2/11,2.879253504,-2.647006411,-3.828453024
12/9/11,2.8168484636747912,-2.570587434,-3.857831549
12/16/11,2.8346512601209866,-2.573615184,-3.99742998
12/23/11,2.8292026995373467,-2.566124914,-4.005735449
12/30/11,2.811411615184605,-2.550555695,-3.970482944
1/6/12,2.847655024,-2.58227065,-4.042318058
1/13/12,2.878871663486277,-2.598620774,-4.173005916
1/20/12,2.883437025897901,-2.603017819,-4.114232715
1/27/12,2.8634905703560003,-2.578950598,-4.137358427
2/3/12,2.8346014539126267,-2.553311679,-4.106996053
2/10/12,2.8891059315115184,-2.621860384,-4.084936135
2/17/12,2.8618686949685714,-2.597360864,-4.133144467
2/24/12,2.901272458,-2.645133882,-4.11796247
3/2/12,2.8956332730962235,-2.641281964,-4.099182081
3/9/12,2.9220186990198624,-2.651846938,-4.214973255
3/16/12,2.8992082229153917,-2.682622097,-3.830013516
3/23/12,2.8724383495376955,-2.656627821,-3.819363045
3/30/12,2.8672353830420523,-2.632162139,-3.932526453
4/6/12,2.9218582765446923,-2.671102873,-4.070433539
4/13/12,2.8648441655816144,-2.597674658,-4.146976152
4/20/12,2.898417124,-2.620854427,-4.273270129
4/27/12,2.878928919885911,-2.583376142,-4.3617039
5/4/12,2.839095346390429,-2.552410548,-4.255456573
5/11/12,2.7980429257369037,-2.49901199,-4.280469284
5/18/12,2.6630811492505404,-2.379040073,-4.050522994
5/25/12,2.827861307548287,-2.550608104,-4.201238086
6/1/12,2.7660441439332106,-2.463065997,-4.337815881
6/8/12,2.8662511602338316,-2.551037061,-4.55066625
6/15/12,2.928124967912458,-2.595338356,-4.67734305
6/22/12,2.9405223051355014,-2.599385618,-4.765888829
6/29/12,2.950754431169288,-2.611043352,-4.783443516
7/6/12,2.9303990357842107,-2.583855022,-4.833273103
7/13/12,2.8323110264951015,-2.485863595,-4.740450885
7/20/12,2.753033952786625,-2.400534919,-4.638428686
7/27/12,2.7945576359748956,-2.44454526,-4.683117401
8/3/12,2.8207273438076554,-2.465972378,-4.761575793
8/10/12,2.8741157489632854,-2.546292201,-4.647847521
8/17/12,2.852457541653101,-2.552630438,-4.451823684
8/24/12,2.9234665989209967,-2.60636532,-4.659636927
8/31/12,2.9285522337246923,-2.604747732,-4.720422899
9/7/12,2.8952254561942703,-2.572812491,-4.641331068
9/14/12,2.914509960520714,-2.585114549,-4.719758551
9/21/12,2.941858678759897,-2.611522261,-4.756582951
9/28/12,2.914509515274256,-2.570369397,-4.823219099
10/5/12,2.9609889654890353,-2.614947789,-4.88792393
10/12/12,2.9730619822621205,-2.618454115,-4.961378998
10/19/12,2.9742594763293027,-2.632152508,-4.874981212
10/26/12,2.992328762222823,-2.640749827,-4.977666539
11/2/12,2.994027780057283,-2.647522169,-4.919569449
11/9/12,2.9729953763228507,-2.610101536,-5.011323462
11/16/12,3.046561756474369,-2.666544799,-5.220895513
11/23/12,3.0473594467480645,-2.67439799,-5.188520138
11/30/12,3.042928063082201,-2.655630363,-5.276098231
12/7/12,2.983036016055533,-2.587330485,-5.244536603
12/14/12,3.0610985650011933,-2.670254774,-5.312931083
12/21/12,3.0132963874116805,-2.642269986,-5.137298875
12/28/12,3.0621231889459075,-2.710333895,-5.056271446
1/4/13,3.060839357847843,-2.727657353,-4.899909494
1/11/13,3.128108265894245,-2.783785845,-5.14993905
1/18/13,3.1388580310614516,-2.778842931,-5.353185725
1/25/13,3.152884426944692,-2.773651966,-5.495408157
2/1/13,3.109350847182284,-2.76352254,-5.253535034
2/8/13,3.1324925679106292,-2.80437503,-5.284841221
2/15/13,3.0290997145115495,-2.701684169,-5.076283158
2/22/13,3.0051611129373423,-2.678174841,-5.087436657
3/1/13,2.8048431670397673,-2.481257914,-4.874698198
3/8/13,2.787191509740241,-2.476242648,-4.888380082
3/15/13,2.8341238834089855,-2.505453415,-5.032099178
3/22/13,2.6341813776187806,-2.308663659,-4.80526867
3/29/13,2.4590001644018846,-2.163641289,-4.335056663
4/5/13,1.9015209458191247,-1.695576725,-2.896569317
4/12/13,2.4653623984612496,-2.183824992,-3.741305525
4/19/13,2.482513220911518,-2.168394381,-4.045763092
4/26/13,2.573278412270537,-2.241888787,-4.251008171
5/3/13,2.552218653206461,-2.208992124,-4.375809414
5/10/13,2.639927116133724,-2.350755987,-4.060933883
5/17/13,2.684857822155705,-2.451581333,-3.702112449
5/24/13,2.7126083116825668,-2.500746501,-3.566259722
5/31/13,2.5383694236118406,-2.350793133,-3.187031407
6/7/13,2.631012688785551,-2.421050431,-3.568388048
6/14/13,2.6560915709902915,-2.443634067,-3.613602832
6/21/13,2.7796615517830663,-2.580234677,-3.642468333
6/28/13,2.7167602029391733,-2.500367782,-3.675746135
7/5/13,2.7699160233647624,-2.548156213,-3.747785964
7/12/13,2.7995425646803116,-2.541943511,-4.01606779
7/19/13,2.8019666273518893,-2.526956427,-4.132488122
7/26/13,2.7952161618962155,-2.513725682,-4.170500262
8/2/13,2.7568763935587457,-2.511730339,-3.95436489
8/9/13,2.7462543355634517,-2.476764134,-4.113460514
8/16/13,2.767104722814713,-2.502435213,-4.102677092
8/23/13,2.741600869795497,-2.49034975,-3.980335318
8/30/13,2.6873947448784814,-2.416026274,-4.061588237
9/6/13,2.787982085160043,-2.527146426,-4.098835956
9/13/13,2.7678862924339778,-2.476209361,-4.293038641
9/20/13,2.6919365193535074,-2.393701112,-4.255147826
9/27/13,2.644674552242768,-2.348651028,-4.219898525
10/4/13,2.528463312583964,-2.251741272,-4.053543564
10/11/13,2.549558693420749,-2.280322119,-4.056834352
10/18/13,2.5379820609911303,-2.255509805,-4.136908394
10/25/13,2.5819463459753442,-2.282808339,-4.245560895
11/1/13,2.619613051048142,-2.298189317,-4.419195506
11/8/13,2.5613999254593534,-2.245484462,-4.316220159
11/15/13,2.616179699641739,-2.317267666,-4.257436108
11/22/13,2.6226762203098404,-2.321375589,-4.281376158
11/29/13,2.6067429043219494,-2.298640742,-4.344003235
12/6/13,2.641414689159979,-2.367752764,-4.189399247
12/13/13,2.6938086966511876,-2.416432562,-4.273353366
12/20/13,2.6070007821093593,-2.341375639,-4.094961508
12/27/13,2.6325771567966205,-2.375839889,-4.060860565
