DATE,y2_diff_ewm,y10_diff_ewm,slope_diff_ewm
2019-07-23,-0.004487617173540424,-0.0037300513989876375,0.00020186491913867417
2019-07-24,-0.004341912225249926,-0.004582989908331301,-0.00012860484915655707
2019-07-25,-0.0032268914132074344,-0.0034601417326815685,-0.0001271976507992281
2019-07-26,-0.003122119988124063,-0.0033477970845661375,-0.0001258058500511663
2019-07-29,-0.003345432519635751,-0.0038884644968895433,-0.00023384959707050619
2019-07-30,-0.0032368122756548418,-0.0037622129704025487,-0.00023129080732799427
2019-07-31,-0.0018329898787679618,-0.00493878946548357,-0.0011041225650585207
2019-08-01,-0.006968391393598008,-0.008674622332427396,-0.0006543599462128997
2019-08-02,-0.007066822333259545,-0.00969170163236088,-0.0009754608747487627
2019-08-05,-0.01105824397250506,-0.012948533679652957,-0.0007459467134967139
2019-08-06,-0.01037452024330784,-0.013177482249873303,-0.0010660454967066457
2019-08-07,-0.010362360237100837,-0.0133989972672091,-0.0011638011115525542
2019-08-08,-0.009051866185624171,-0.012639273441618496,-0.001369907399985209
2019-08-09,-0.00843328597477615,-0.011579534282696763,-0.0012454975109246712
2019-08-12,-0.009782883251781175,-0.014125707331865736,-0.0016695505120307669
2019-08-13,-0.006867792713598761,-0.012693024093424776,-0.0021983838303260292
2019-08-14,-0.009242265416810305,-0.015203044108807635,-0.0022837493630447282
2019-08-15,-0.012189007643927177,-0.016982203808899417,-0.001930499548827266
2019-08-16,-0.011793252244170169,-0.015456775210196404,-0.0015811150053328972
2019-08-19,-0.009786935244577414,-0.013331510135559901,-0.0015638143945640118
2019-08-20,-0.010443217507767397,-0.014522070785672981,-0.0017655437249079614
2019-08-21,-0.008156051520235522,-0.012751836116067687,-0.001965065726491399
2019-08-22,-0.00626782795930054,-0.011363760032540908,-0.002162404551975956
2019-08-23,-0.009311144880554675,-0.014241621102613868,-0.002138743452465535
2019-08-26,-0.008034781922093438,-0.013129856564953211,-0.00222476157209916
2019-08-27,-0.008098589057895761,-0.014326964547858199,-0.0026380994346446836
2019-08-28,-0.008809688919003267,-0.014511157919360154,-0.002499812947931326
2019-08-29,-0.0075496073437621965,-0.01306595978587633,-0.0024724599150012048
