Security,USOSFR10 BGN Curncy
Start Date,1/1/2007 0:00
End Date,7/25/2025 0:00
Period,D
Currency,USD
Pricing Source,BGN
,
Date,PX_LAST
2/17/2022,1.7744
2/16/2022,1.8534
2/15/2022,1.8605
2/14/2022,1.8099
2/11/2022,1.753
2/10/2022,1.8505
2/9/2022,1.754
2/8/2022,1.77075
2/7/2022,1.7252
2/4/2022,1.7199
2/3/2022,1.63775
2/2/2022,1.585
2/1/2022,1.5961
1/31/2022,1.58915
1/28/2022,1.587
1/27/2022,1.60825
1/26/2022,1.67025
1/25/2022,1.57575
1/24/2022,1.5697
1/21/2022,1.56
1/20/2022,1.60155
1/19/2022,1.6526
1/18/2022,1.675
1/17/2022,1.58
1/14/2022,1.58555
1/13/2022,1.49825
1/12/2022,1.53825
1/11/2022,1.539
1/10/2022,1.571
1/7/2022,1.56475
1/6/2022,1.524
1/5/2022,1.4994
1/4/2022,1.437
1/3/2022,1.4237
12/31/2021,1.32127
12/30/2021,1.3177
12/29/2021,1.3619
12/28/2021,1.2941
12/27/2021,1.289
12/24/2021,1.306
12/23/2021,1.3076
12/22/2021,1.2735
12/21/2021,1.2765
12/20/2021,1.23225
12/17/2021,1.2042
12/16/2021,1.2134
12/15/2021,1.27325
12/14/2021,1.26925
12/13/2021,1.2464
12/10/2021,1.31275
12/9/2021,1.3191
12/8/2021,1.33495
12/7/2021,1.30475
12/6/2021,1.264
12/3/2021,1.1736
12/2/2021,1.2519
12/1/2021,1.2125
11/30/2021,1.25515
11/29/2021,1.2895
11/26/2021,1.2632
11/25/2021,1.4242
11/24/2021,1.42265
11/23/2021,1.4565
11/22/2021,1.4185
11/19/2021,1.33
11/18/2021,1.36475
11/17/2021,1.37615
11/16/2021,1.41975
11/15/2021,1.4011
11/12/2021,1.355
11/11/2021,1.313
11/10/2021,1.32375
11/9/2021,1.2125
11/8/2021,1.257
11/5/2021,1.21705
11/4/2021,1.3009
11/3/2021,1.377
11/2/2021,1.31875
11/1/2021,1.31025
10/29/2021,1.3039
10/28/2021,1.31705
10/27/2021,1.3131
10/26/2021,1.3862
10/25/2021,1.4043
10/22/2021,1.39525
10/21/2021,1.45825
10/20/2021,1.4114
10/19/2021,1.38925
10/18/2021,1.349
10/15/2021,1.32295
10/14/2021,1.2732
10/13/2021,1.29925
10/12/2021,1.3479
10/11/2021,1.355
10/8/2021,1.385
10/7/2021,1.344
10/6/2021,1.2821
10/5/2021,1.285
10/4/2021,1.2405
10/1/2021,1.2289
9/30/2021,1.2557
9/29/2021,1.284
9/28/2021,1.3108
9/27/2021,1.2645
9/24/2021,1.22975
9/23/2021,1.2085
9/22/2021,1.0801
9/21/2021,1.098
9/20/2021,1.093
9/17/2021,1.1526
9/16/2021,1.127
9/15/2021,1.08375
9/14/2021,1.0625
9/13/2021,1.1007
9/10/2021,1.1195
9/9/2021,1.07715
9/8/2021,1.1165
9/7/2021,1.1409
9/3/2021,1.0903
9/2/2021,1.0516
9/1/2021,1.065
8/31/2021,1.0765
8/30/2021,1.051
8/27/2021,1.077
8/26/2021,1.11625
8/25/2021,1.10875
8/24/2021,1.05885
8/23/2021,1.01435
8/20/2021,1.019
8/19/2021,1.0093
8/18/2021,1.028
8/17/2021,1.02975
8/16/2021,1.0236
8/13/2021,1.03485
8/12/2021,1.11485
8/11/2021,1.0965
8/10/2021,1.114
8/9/2021,1.091
8/6/2021,1.074
8/5/2021,1.0015
8/4/2021,0.958
8/3/2021,0.946
8/2/2021,0.95965
7/30/2021,1.00295
7/29/2021,1.04935
7/28/2021,1.006
7/27/2021,0.99885
7/26/2021,1.04605
7/23/2021,1.0305
7/22/2021,1.03625
7/21/2021,1.04495
7/20/2021,0.96895
7/19/2021,0.91735
7/16/2021,1.033
7/15/2021,1.04195
7/14/2021,1.0937
7/13/2021,1.16355
7/12/2021,1.1105
7/9/2021,1.1155
7/8/2021,1.035
7/7/2021,1.05335
7/6/2021,1.07675
7/2/2021,1.1545
7/1/2021,1.19005
6/30/2021,1.193
6/29/2021,1.198
6/28/2021,1.19565
6/25/2021,1.23355
6/24/2021,1.2101
6/23/2021,1.2095
6/22/2021,1.1815
6/21/2021,1.201
6/18/2021,1.14905
6/17/2021,1.22695
6/16/2021,1.305
6/15/2021,1.218
6/14/2021,1.2245
6/11/2021,1.1867
6/10/2021,1.1672
6/9/2021,1.2215
6/8/2021,1.263
6/7/2021,1.2945
6/4/2021,1.2834
6/3/2021,1.3542
6/2/2021,1.3181
6/1/2021,1.339
5/28/2021,1.3233
5/27/2021,1.32835
5/26/2021,1.29555
5/25/2021,1.2765
5/24/2021,1.326
5/21/2021,1.34575
5/20/2021,1.35315
5/19/2021,1.38855
5/18/2021,1.357
5/17/2021,1.36155
5/14/2021,1.34925
5/13/2021,1.35525
5/12/2021,1.41605
5/11/2021,1.3446
5/10/2021,1.326
5/7/2021,1.31
5/6/2021,1.31065
5/5/2021,1.30955
5/4/2021,1.33525
5/3/2021,1.3445
4/30/2021,1.374
4/29/2021,1.3839
4/28/2021,1.3595
4/27/2021,1.36495
4/26/2021,1.307
4/23/2021,1.306
4/22/2021,1.2875
4/21/2021,1.29635
4/20/2021,1.29655
4/19/2021,1.33355
4/16/2021,1.312
4/15/2021,1.3128
4/14/2021,1.371
4/13/2021,1.36045
4/12/2021,1.42445
4/9/2021,1.42715
4/8/2021,1.38435
4/7/2021,1.4455
