"Date","Price","Open","High","Low","Change %"
"01/05/2022","-0.109","-0.114","-0.109","-0.207","-31.45%"
"01/04/2022","-0.159","-0.129","-0.129","-0.159","23.26%"
"01/03/2022","-0.129","-0.129","-0.129","-0.129","-39.44%"
"12/30/2021","-0.213","-0.129","-0.129","-0.213","65.12%"
"12/29/2021","-0.129","-0.119","-0.119","-0.213","8.40%"
"12/28/2021","-0.119","-0.119","-0.119","-0.119","0.00%"
"12/27/2021","-0.119","-0.124","-0.119","-0.124","-4.03%"
"12/26/2021","-0.124","-0.124","-0.124","-0.124","-41.09%"
"12/24/2021","-0.211","-0.124","-0.124","-0.211","0.00%"
"12/23/2021","-0.211","-0.124","-0.124","-0.211","69.76%"
"12/22/2021","-0.124","-0.119","-0.119","-0.211","12.73%"
"12/21/2021","-0.110","-0.119","-0.110","-0.119","-4.35%"
"12/20/2021","-0.115","-0.119","-0.112","-0.119","-3.36%"
"12/19/2021","-0.119","-0.119","-0.119","-0.119","0.00%"
"12/17/2021","-0.119","-0.111","-0.111","-0.119","0.00%"
"12/16/2021","-0.119","-0.119","-0.119","-0.119","-42.51%"
"12/15/2021","-0.207","-0.114","-0.114","-0.207","81.58%"
"12/14/2021","-0.114","-0.114","-0.114","-0.114","0.00%"
"12/13/2021","-0.114","-0.114","-0.114","-0.114","0.00%"
"12/12/2021","-0.114","-0.114","-0.114","-0.114","-43.56%"
"12/10/2021","-0.202","-0.114","-0.114","-0.202","45.32%"
"12/09/2021","-0.139","-0.144","-0.139","-0.212","-37.10%"
"12/08/2021","-0.221","-0.144","-0.144","-0.221","0.00%"
"12/07/2021","-0.221","-0.144","-0.144","-0.221","0.00%"
"12/06/2021","-0.221","-0.144","-0.144","-0.221","53.82%"
"12/05/2021","-0.144","-0.144","-0.144","-0.144","11.63%"
"12/03/2021","-0.129","-0.154","-0.129","-0.154","-1.90%"
"12/02/2021","-0.132","-0.154","-0.132","-0.154","-14.61%"
"12/01/2021","-0.154","-0.159","-0.134","-0.159","14.93%"
"11/30/2021","-0.134","-0.159","-0.134","-0.159","-15.72%"
"11/29/2021","-0.159","-0.164","-0.137","-0.164","3.25%"
"11/28/2021","-0.154","-0.154","-0.154","-0.154","-33.33%"
