Security,LUTLTRUU Index,
Start Date,1/31/73 0:00,
End Date,7/24/25 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
3/29/24,3245.05,9.74
3/28/24,3245.05,9.74
3/27/24,3238.48,9.91
3/26/24,3212.91,9.72
3/25/24,3203.72,9.78
3/22/24,3217.35,10.94
3/21/24,3187.96,10.58
3/20/24,3182.98,10.58
3/19/24,3182.52,10.74
3/18/24,3172.15,10.72
3/15/24,3180.83,11.05
3/14/24,3182.95,12.35
3/13/24,3230.13,13.02
3/12/24,3243.87,14.14
3/11/24,3270.07,14.21
3/8/24,3270.99,14.39
3/7/24,3274.53,14.71
3/6/24,3275.34,14.73
3/5/24,3257.26,14.73
3/4/24,3215.27,14.36
3/1/24,3225.4,14.48
2/29/24,3205.55,14.46
2/28/24,3186.65,14.37
2/27/24,3168.58,14.46
2/26/24,3188.33,14.36
2/23/24,3195.64,15.11
2/22/24,3159.42,14.63
2/21/24,3147.68,14.55
2/20/24,3167.78,14.6
2/19/24,3163.71,14.63
2/16/24,3163.71,14.66
2/15/24,3181.1,14.91
2/14/24,3167.14,15
2/13/24,3152.08,15.34
2/12/24,3204.06,14.76
2/9/24,3200.3,14.91
2/8/24,3205.55,14.93
2/7/24,3226.23,14.93
2/6/24,3238.6,15.86
2/5/24,3210.96,15.65
2/2/24,3271.66,14.67
2/1/24,3338.75,13.4
1/31/24,3280.43,12.33
1/30/24,3250.47,12.22
1/29/24,3225.18,12.02
1/26/24,3190.39,11.54
1/25/24,3195.88,11.58
1/24/24,3177.87,13.52
1/23/24,3195.88,15.06
1/22/24,3217.75,14.93
1/19/24,3199.47,14.85
1/18/24,3191.31,15.03
1/17/24,3217.76,14.92
1/16/24,3224.35,15.38
1/15/24,3276.93,15.5
1/12/24,3276.93,15.57
1/11/24,3277.95,16.18
1/10/24,3260.74,16.56
1/9/24,3276.92,16.72
1/8/24,3291.82,16.59
1/5/24,3262.67,16.92
1/4/24,3291.55,17.04
1/3/24,3337.59,16.29
1/2/24,3324.92,16.29
12/29/23,3354.28,15.92
12/28/23,3368.61,15.77
12/27/23,3391.05,15.45
12/26/23,3336,15.13
12/25/23,3324.82,15.93
12/22/23,3324.82,16.75
12/21/23,3338.78,16.65
12/20/23,3358.52,16.36
12/19/23,3333.34,18.09
12/18/23,3319.94,18.41
12/15/23,3341.51,18.33
12/14/23,3336.36,18.71
12/13/23,3261.5,17.83
12/12/23,3190.56,17.64
12/11/23,3181.42,18.33
12/8/23,3185.62,18.45
12/7/23,3211.48,18.24
12/6/23,3229.99,18.11
12/5/23,3189.67,18.15
12/4/23,3128.68,18.88
12/1/23,3139.38,18.9
11/30/23,3088.41,18.66
11/29/23,3120.36,18.2
11/28/23,3083.42,19.12
11/27/23,3077.29,19.44
11/24/23,3031.3,19.42
11/23/23,3063.59,19.68
11/22/23,3063.59,20.15
11/21/23,3055.71,21.66
11/20/23,3057.47,22.3
11/17/23,3040.09,22.96
11/16/23,3027.93,23.31
11/15/23,2994.64,23.18
11/14/23,3033.51,23.01
11/13/23,2970.85,23.1
11/10/23,2975.34,23.57
11/9/23,2960.05,23.52
11/8/23,3025.14,22.55
11/7/23,2980.88,22.2
11/6/23,2942.37,21.84
11/3/23,2966.9,22.69
11/2/23,2944.91,22.7
11/1/23,2887.03,22.7
10/31/23,2829.35,21.63
10/30/23,2842.43,21.64
10/27/23,2853.76,21.76
10/26/23,2861.32,21.77
10/25/23,2822.82,21.17
10/24/23,2878.95,20.62
10/23/23,2850.32,20.37
10/20/23,2816.19,19.82
10/19/23,2800.22,19.74
10/18/23,2850.69,19.33
10/17/23,2876.62,19.3
10/16/23,2908.56,19.36
10/13/23,2950.86,19.35
10/12/23,2904.37,18.59
10/11/23,2977.28,17.36
10/10/23,2922.11,16.56
10/6/23,2863.84,15.03
10/5/23,2897.43,14.9
10/4/23,2909.52,14.91
10/3/23,2873.89,16.08
10/2/23,2930.86,15.4
9/29/23,2976.22,15.2
9/28/23,2974.46,15.26
9/27/23,2967.29,15.23
9/26/23,2984.93,15.26
9/25/23,2994.24,15.3
9/22/23,3061.93,13.93
9/21/23,3038.37,13.67
9/20/23,3110.39,12.63
9/19/23,3104.72,12.73
9/18/23,3124.03,13.12
9/15/23,3110.12,13.2
9/14/23,3126.24,14.16
9/13/23,3146.61,15.38
9/12/23,3145.37,15.58
9/11/23,3130.05,16.02
9/8/23,3148.97,16.03
9/7/23,3137.79,16.06
9/6/23,3131.13,16.81
9/5/23,3125.67,16.8
9/1/23,3164.69,16.51
8/31/23,3210.4,16.05
8/30/23,3198.36,15.99
8/29/23,3200.73,16.31
8/28/23,3168.61,16.32
8/25/23,3164.08,16.38
8/24/23,3156.9,16.35
8/23/23,3174.14,16.34
8/22/23,3104.9,15.02
8/21/23,3085.54,15.37
8/18/23,3124.85,15.14
8/17/23,3114.09,15.11
8/16/23,3127.62,15.13
8/15/23,3149.91,15.47
8/14/23,3168.11,15.6
8/11/23,3171.92,15.62
8/10/23,3182.92,16.03
8/9/23,3231.69,16.21
8/8/23,3216.26,16.2
8/7/23,3181.87,15.74
8/4/23,3207.63,15.67
8/3/23,3154.62,14.95
8/2/23,3221.96,14.08
8/1/23,3252.24,13.94
7/31/23,3302.48,13.44
7/28/23,3292.85,13.41
7/27/23,3277.88,13.62
7/26/23,3339.5,12.61
7/25/23,3334.76,12.93
7/24/23,3341.5,12.93
7/21/23,3352.04,12.9
7/20/23,3350.07,13.28
7/19/23,3391.9,13.42
7/18/23,3357.32,13.14
7/17/23,3344.27,13.08
7/14/23,3341.79,13.38
7/13/23,3357.26,13.37
7/12/23,3324.68,13.29
7/11/23,3286.88,13.63
7/10/23,3272.4,13.57
7/7/23,3264.95,13.59
7/6/23,3282.45,13.56
7/5/23,3327.58,12.93
